(140, 140)
(185, 500)
(255, 500)
(265, 500)
(280, 500)
(285, 500)
(290, 500)
(295, 500)
(300, 500)
(305, 500)
(310, 500)
(315, 500)
(320, 500)
(325, 500)
(330, 500)
(335, 500)
(340, 500)
(345, 500)
(350, 500)
(355, 500)
(360, 500)
(365, 500)
(370, 500)
(375, 500)
(380, 500)
(395, 500)
(400, 400)
(400, 500)
(405, 500)
(410, 500)
(415, 500)
(435, 500)
(440, 500)
(445, 500)
(460, 500)
(465, 500)
(480, 500)
(495, 500)
(500, 365)
(500, 390)
(500, 420)
(500, 440)
(500, 485)
(500, 495)
(500, 500)
(500, 505)
(505, 500)
(956, 960)
(960, 959)
(960, 960)
(1000, 1000)
(1024, 1024)
(1200, 1200)
(1717, 1717)
(2560, 2545)
(2560, 2546)
(2560, 2552)
(2560, 2560)
